"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NDNF",113.123227307072,4.85480595065269,0.12404628081523,39.1370536766357,0,0
"SPOCK2",95.3050010306252,3.9791404075165,0.0827961367693923,48.0594936283005,0,0
"NPHS2",136.902132353803,4.96154940903212,0.123616954635025,40.1364798516589,0,0
"ARMH4",64.4648016895173,3.31919757799127,0.087651132519496,37.8682794230068,0,0
"SPOCK1",61.4461152078061,3.46127502288638,0.081471132660598,42.4846802769487,0,0
"PTGDS",94.9545570553418,3.66591506455821,0.0806718447836772,45.442311061417,0,0
"FGF1",124.54439320937,4.76045816007585,0.101728416418798,46.7957560695516,0,0
"PODXL",277.976196054572,5.27796924129983,0.111202506874917,47.4626821788882,0,0
"SRGAP2B",116.044549189779,3.18908508270452,0.0761038043049157,41.9044108482043,0,0
"CLIC5",156.076272160741,4.98867731293975,0.102131131122705,48.8458049773884,0,0
"HTRA1",152.202472025803,4.66090908848234,0.0992523399026018,46.9601935133839,0,0
"PLA2R1",102.213662396929,4.25632060130889,0.0947064360261742,44.9422529228379,0,0
"ALS2CL",93.032261084988,3.75315693044544,0.100392770101341,37.3847332497834,6.91802537182581e-306,9.8470108830973e-303
"PLAT",179.847433088897,3.93344145021987,0.107754394205691,36.5037684004921,9.66332248847253e-292,1.27721513804783e-288
"TYRO3",56.7646320217961,3.0731270406959,0.0841978733707982,36.498867698976,1.15577205189494e-291,1.4257604032176e-288
"SYNPO",59.6283845679834,3.28804255026326,0.090518233582718,36.3246433356275,6.60740478841464e-289,7.64146363780153e-286
"NES",37.5904563635892,2.86427966202639,0.0799721033500661,35.8159851003096,6.22798646307497e-281,6.77898008898467e-278
"PLCE1",48.3672113642534,2.78366899077757,0.0782097714136817,35.592342752847,1.84030208646213e-277,1.89183054488307e-274
"NPHS1",55.5039869155816,3.526363573564,0.0991933218242134,35.5504131600037,8.18742974132224e-277,7.97369473333825e-274
"ST6GALNAC3",48.8873884815536,2.73314002920872,0.0782106515183245,34.9458798277414,1.49563706694971e-267,1.38376341434188e-264
"MYL9",116.580461933484,3.11436866915883,0.0914214785289375,34.0660501150508,2.348497834733e-254,2.06936209209045e-251
"CCN2",261.924382754722,4.13813975026729,0.125974632435082,32.8489924540941,1.17738078506753e-236,9.90284274858614e-234
"NTNG1",32.9564112922427,2.79433875959444,0.0853345273772158,32.7456991381958,3.49592295587258e-235,2.81254601632462e-232
"NFASC",50.8186320903332,2.81038215207138,0.0862263468589435,32.5930791973461,5.14019193755406e-233,3.96308798385418e-230
"PLPP1",97.7615924547718,2.87529807827212,0.0885892207935307,32.4565229552407,4.38230778470447e-231,3.24360892992686e-228
"CHI3L1",97.467305183083,3.91402135985086,0.121247978798916,32.2811266515384,1.28736928528782e-228,9.16210817498683e-226
"TNNT2",35.0368975607995,2.38833234346402,0.074265523238807,32.1593686990414,6.53295129798568e-227,4.47724928955285e-224
"TPPP3",39.9474148831187,3.09822252206332,0.0965278993215312,32.0966533389817,4.90935107835034e-226,3.24437972692124e-223
"TGFBR3",57.7499235490503,3.05468596668875,0.0951752092356854,32.0953953368711,5.11183150261729e-226,3.26170103877346e-223
"CRIM1",89.6690819670788,2.86859182834766,0.0910947726975969,31.4901914061567,1.18342692923112e-217,7.29937729949757e-215
"NPNT",150.630524263296,3.38879006654897,0.108264841300392,31.3009285918261,4.53249446341007e-215,2.70546056615935e-212
"ZDHHC6",85.4010533817289,3.03735304029083,0.0978084170156605,31.0541069262424,1.0041279193302e-211,5.80636969352691e-209
"IGFBP2",68.9617790316813,2.96833779839207,0.0963384895156465,30.8115459700037,1.83544210048619e-208,1.02918244325444e-205
"TCF21",40.1025133865103,3.19071529908886,0.104374197534042,30.5699624473586,3.07027019680943e-205,1.67094940358123e-202
"MME",173.729347394681,4.06434549375579,0.133816632919602,30.3724985831746,1.2680035942729e-202,6.70375385955022e-200
"POSTN",56.6068021960079,2.81286684053431,0.0926959010711353,30.3451048863067,2.91533252319566e-202,1.49848091692257e-199
"TIMP3",328.002543807994,2.89914824540959,0.0959154699267044,30.2260756020382,1.07638428547225e-200,5.38308508604824e-198
"SEMA3G",28.0537356077049,1.94164671053041,0.064701017345387,30.0095236550225,7.37193286350271e-198,3.58974330805932e-195
"SEMA5A",39.5664216689406,2.60700351018111,0.086919021078205,29.9934752812675,1.1937550623506e-197,5.66390863429113e-195
"AIF1",35.9744226422191,2.700668088717,0.0905796417894187,29.8153981994714,2.46741276989697e-195,1.14142514735434e-192
"TNS2",60.2013154966162,2.12504283030963,0.0718505952733938,29.5758555962379,3.05515729504706e-192,1.37884464847685e-189
"MGAT5",30.5588016651827,2.16765413611064,0.0739669564098127,29.3057094860141,8.77181387204957e-189,3.86461056877155e-186
"PCOLCE2",28.8852939828083,3.00850388696901,0.10270864656042,29.2916320847361,1.32562895611229e-188,5.70452051253532e-186
"LDB2",33.59355248134,2.40802712566184,0.0822329552973051,29.2829938673109,1.70774104628704e-188,7.18182734556712e-186
"EMCN",97.8007376724215,3.7512445397633,0.13123779511049,28.5835687547563,1.0753935029115e-179,4.42201808397208e-177
"FOXC1",27.3443539511038,2.07247010080454,0.0727179111560955,28.5001324688191,1.16700860246425e-178,4.69441895217357e-176
"DDN",27.0915183500179,2.689124236484,0.0945081357585885,28.4538914549441,4.36173298281703e-178,1.71722355561801e-175
"RIPOR1",51.7388902377115,2.29931417013941,0.0813324750349172,28.2705545251424,7.9565089104172e-176,3.06723418496583e-173
"FYN",29.9900987916327,1.86961606753557,0.0662520570503347,28.2197436694704,3.34798900224965e-175,1.26430996933934e-172
"F3",29.8453904405545,2.57490113367105,0.0913195343109731,28.1966082404961,6.43522134772902e-175,2.38154671636755e-172
"WT1",30.7358410159711,2.73529770533561,0.0972633070368242,28.122606444998,5.18455495527635e-174,1.88107852730262e-171
"CDC42EP3",44.2349234756351,2.43752979643043,0.0874827910287076,27.8629633070412,7.50309147205301e-171,2.66994624228594e-168
"EHD3",75.0205325665975,3.84813065787356,0.138820057228062,27.7202785729414,3.97770843666447e-169,1.38874560211395e-166
"BST2",44.9432034032999,1.99229979247083,0.0719206105552868,27.7013748505278,6.72091343247863e-169,2.30303300286268e-166
"EPAS1",118.025316422122,3.05417323373911,0.111627935317221,27.3602949392539,8.14541438744704e-165,2.740413596824e-162
"BTNL9",32.1925536066522,2.24343333194208,0.0829456964266364,27.0470130288959,4.14131269831478e-161,1.36840803874315e-158
"TGFBR2",89.3788686511681,2.85801708996156,0.105927725070259,26.980821952571,2.48171929899098e-160,8.05644454535599e-158
"SLC9A3R2",102.338783950293,3.18672444893079,0.118809695991101,26.8220907590697,1.78562048258616e-158,5.69674507065075e-156
"APOD",49.0443255562674,2.87455331432931,0.107214967693267,26.8111195309331,2.39740055364637e-158,7.51889827875803e-156
"KDR",42.6955926482214,2.59827936792738,0.0979969518711436,26.513879445392,6.70538282342386e-155,2.06794006274392e-152
"ENG",59.6573154619249,2.51321615959263,0.0949300106224622,26.4744114438976,1.9107234933963e-154,5.79607008554181e-152
"CRB2",23.3344136816688,2.14609336814689,0.0811075435907949,26.4598491476255,2.81075406769258e-154,8.38874084977153e-152
"ARRDC4",26.7265957869408,2.1469175328053,0.0813318841703758,26.3969973732306,1.48336392419517e-153,4.35685175449325e-151
"PTPRB",35.8012880121895,2.71677835674301,0.103161371277125,26.3352291958671,7.5778931459379e-153,2.19095835581929e-150
"TMEM150C",24.8423626422505,1.95920568206772,0.0749049688741603,26.1558840690418,8.44767612652959e-151,2.40485844685082e-148
"KLK7",27.3308699394491,2.48208591081824,0.0951797321015485,26.0778829275342,6.49758745602486e-150,1.82168724676188e-147
"GOLIM4",39.6699965555705,2.06090325630482,0.079594584706316,25.8925059274954,8.08840173435637e-148,2.2338475476497e-145
"ARHGAP28",19.8458816416573,2.15535089112791,0.0835284602254558,25.8037905321168,8.03973987897369e-147,2.18775509883131e-144
"VAMP5",37.1123932058714,1.7837074387388,0.0691726841225083,25.7862978915169,1.26327959222893e-146,3.38778631516003e-144
"PARD3B",28.1094710028216,1.52641454729021,0.0608261528378601,25.0947080503194,5.68091225478764e-139,1.50170857660844e-136
"KIRREL1",28.1616908693077,1.85368319666784,0.0753852546358406,24.5894665425265,1.63743065925334e-133,4.26746717166533e-131
"FMN2",19.8345742546792,1.99949716312377,0.0815040999025897,24.5324734033439,6.65419823384352e-133,1.71012894609778e-130
