"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAL2",40.774146167207,1.30694818490337,0.0631933027598676,20.6817515120191,5.0571017866064e-95,9.35766114593648e-91
"PCOLCE2",31.9321162614369,1.47695759171068,0.0728572233333467,20.2719445531584,2.27488042607349e-91,2.10471937020319e-87
"AIF1",39.0880400708535,1.3182901856619,0.0652265022921979,20.2109593391394,7.84091180070659e-91,4.83627439867582e-87
"MPP5",32.5522410384963,1.30868545979206,0.0663239555656595,19.7317160689623,1.15192871364172e-86,5.3288222293066e-83
"DSTN",64.7716581199009,1.22354718779352,0.0639210592248874,19.1415349280874,1.1386575800207e-81,4.21394397214062e-78
"PEA15",39.2367256679721,1.01551002555764,0.0584770934271605,17.3659456385699,1.49417753504689e-67,4.60804351808462e-64
"DCN",106.169869973813,1.46664079707925,0.0851279802705006,17.2286572807071,1.618652095292e-66,4.27879119589759e-63
"SEPTIN11",31.3971796740333,1.03595109321044,0.0613615234782569,16.8827472736645,6.02734389646993e-64,1.3941246432535e-60
"TNS3",30.7719489868054,1.12181932035812,0.0665223487548496,16.8637960227816,8.30777176436659e-64,1.70807787475377e-60
"KLK6",23.0777813791277,1.30370456881414,0.0781076871257542,16.6911173123736,1.52097466855196e-62,2.81441152668855e-59
"CDKN1C",125.775392740701,1.60153027742688,0.0960224066866975,16.6787141948271,1.87205069063272e-62,3.14912963449708e-59
"STARD7",28.4232525072843,0.88429620056701,0.0546205378538105,16.1898112928472,5.95107992632337e-59,9.17656524639064e-56
"ARHGEF3",35.9366179980796,0.983527812251966,0.0610815257310763,16.101886789504,2.47442494356285e-58,3.5220583965913e-55
"KLK7",29.2514812123553,1.25223892397112,0.077867248275572,16.0817153771692,3.42755232713867e-58,4.53024487581243e-55
"GOLIM4",41.2219524238899,0.94130380603512,0.0587454154481424,16.0234428313143,8.76593789014662e-58,1.08136609812849e-54
"SYNPO",67.2578837389874,1.11770150009632,0.0703162644620276,15.8953480911931,6.8248307816131e-57,7.89291679893555e-54
