"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SUPT7L",519.982027331026,2.12278356186412,0.177501344458655,11.959253426154,5.8081754650741e-33,1.07474478805731e-28
"C3",111.520375908311,-2.2281316747851,0.220661082697226,-10.0975289686328,5.66516681801934e-24,5.24141234003149e-20
"UMOD",565.626635483616,3.90343836023818,0.398078250875468,9.8057061687083,1.06400144429158e-22,6.56276090839048e-19
"TSPY1",15.8520664794982,-1.28313260944962,0.153143482027465,-8.37863023918645,5.35472083456221e-17,2.21201058883057e-13
"FOLR1",25.6107348016428,0.893047336000859,0.10675136320297,8.36567617692034,5.97711464772637e-17,2.21201058883057e-13
"IGHG1",68.813050724467,-2.49720744089884,0.300671162206757,-8.30544380302634,9.94470315912639e-17,3.06694645427458e-13
"DYNLL1",67.047419015626,0.880622445984207,0.106442923130242,8.27318923688983,1.3042244672505e-16,3.44762422028617e-13
"H4C2",40.8313781474603,1.10772124540301,0.137579169050959,8.05151864954725,8.17729524224903e-16,1.8914083895322e-12
"IGHG3",65.6560793613163,-2.0074473806006,0.254321671294344,-7.89333984156326,2.94205049317288e-15,6.04885581396344e-12
"SLC12A1",97.4807380253373,2.44974004597813,0.311845176859652,7.85562909982301,3.97770539789599e-15,7.36034606826674e-12
"PAPLN",38.5876477287175,-0.934627399489309,0.120653886117787,-7.74635139871823,9.45705698809957e-15,1.59084893188904e-11
"ATPAF1",35.7324641503971,0.750290530988408,0.0972692513591819,7.71354277435366,1.22372315472208e-14,1.81037960801058e-11
"IGHG4",109.257207003578,-2.44041517597158,0.316582745975938,-7.70861712140516,1.27188364159844e-14,1.81037960801058e-11
"STARD7",59.302859242276,0.928001250488725,0.120663352141768,7.69082935304505,1.46184303228149e-14,1.88297690382221e-11
"ANAPC13",43.6155398672691,0.776810739795495,0.101077498858485,7.68529839547254,1.52640799596483e-14,1.88297690382221e-11
"FGF21",17.0594013025012,0.836346413652612,0.10916292632281,7.66145102394396,1.83843987000533e-14,2.12615570966117e-11
"COX20",52.8955063084315,0.930704881234272,0.124660267247584,7.46593041859786,8.27130490279172e-14,8.87890779041394e-11
"CNTLN",19.8934748016798,0.731601810434397,0.098066906689416,7.460231337279,8.63706983503302e-14,8.87890779041394e-11
